,id,studentID,task_id,query,score,content,time_stamp,target,SessionID,state,QueryOrder,QueryLength,session_end,QueryDwellTime,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HoverCount,CLICK_count,ScrollDist,OVER_count,SEARCH_END_count,GOTO_PAGE_count,ActionCount,segment_start_time,session_start_time,segment_first_click_time,segment_last_click_time,session_first_click_time,session_last_click_time,TimeFirstClick,TimeLastClick,ClickCount,TotalContent,AvgContent,SERPtime,QueryRelDocCount,QueryKeyDocCount,TaskRelDocCount,TaskKeyDocCount,QueryNDCG@3,QueryNDCG@5,QueryNDCG@10,TaskNDCG@3,TaskNDCG@5,TaskNDCG@10,query_DCG3,query_DCG5,query_DCG10,task_DCG3,task_DCG5,task_DCG10,QueryPrecision@3,QueryPrecision@5,QueryPrecision@10,TaskPrecision@3,TaskPrecision@5,TaskPrecision@10,Clicks@3,Clicks@5,Clicks@10,AvgClickRank,last_query,NewTerm,QuerySim,AveQueryRelScore,AveTaskRelScore,click_precision_query,click_precision_task,ClickDepth,Query_Cost-Benefit-1,Task_Cost-Benefit-1,Query_Cost-Benefit-2,Task_Cost-Benefit-2,Query_Cost-Benefit-3,Task_Cost-Benefit-3
742,875,2015011730,3,海淀死飞店,4,TIMESTAMP=1513405685783 USER=2015011730 TASK=3 QUERY=海淀死飞店 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,259,2,5,5,0,106.481,1,2,134,2,1,58,2,118,0,0,0,318,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,239.415,1250.028,2,52.153,26.0765,54.328,2,1,2,1,1,0.916532372,0.977389517,0.649772298,0.705661354,0.831194219,14.91650828,18.9165076,24.80623271,8.392789261,10.84537736,15.53098248,1,1,0.9,1,1,0.9,0,0,1,4.5,死飞价格,0.428571429,0.285714286,2,1.5,1,1,9,1,1,0.222222222,0.222222222,12.07288889,12.07288889
744,877,2015011730,3,海淀自行车店,3,TIMESTAMP=1513405722429 USER=2015011730 TASK=3 QUERY=海淀自行车店 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,259,2,6,6,0,30.062,1,0,55,0,1,6,0,44,0,0,0,107,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,239.415,1250.028,0,0,0,30.062,0,0,0,0,0.530721274,0.696167627,0.817195363,0.646185817,0.913068921,0.913773575,7.916508275,12.0918026,15.01523076,4.130929754,6.583517849,7.506946005,1,1,0.8,1,1,0.8,0,0,0,,海淀死飞店,0.375,0.375,0,0,0,0,29,0,0,0,0,0,0
745,878,2015011730,3,淘宝,5,TIMESTAMP=1513405808553 USER=2015011730 TASK=3 QUERY=淘宝 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,259,3,7,2,0,80.933,1,1,56,1,1,6,1,0,0,0,0,67,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,239.415,1250.028,1,57.002,57.002,23.931,1,1,1,1,0.562651065,0.608941973,0.616355087,1,1,0.870124988,8.392789261,12.56808359,19.60312137,6.392789261,8.845377357,11.86039355,1,0.8,0.85,1,0.8,0.8,1,1,0,1,海淀自行车店,0.25,0,3,2,1,1,1,1,1,1,1,23.931,23.931
749,882,2015011730,3,海淀区死飞店,4,TIMESTAMP=1513406160489 USER=2015011730 TASK=3 QUERY=海淀区死飞店 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,259,2,8,6,1,330.727,1,17,599,17,0,168,6,111,1,0,0,920,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,239.415,1250.028,5,191.692,38.3384,139.035,4,4,4,4,0.530721274,0.572562183,0.802030362,0.458057871,0.611922238,0.729216755,7.916508275,10.93124418,15.86523779,5.916508275,8.931244182,10.90295573,1,0.8,0.7,1,0.8,0.6,2,3,2,4.8,淘宝,0.75,0,2.2,1.6,0.8,0.8,9,0.8,0.8,0.444444444,0.444444444,61.79333333,61.79333333
817,950,2015011730,4, 国际航班行李限制,5,TIMESTAMP=1513411247459 USER=2015011730 TASK=4 QUERY= 国际航班行李限制 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,276,2,1,9,1,392.755,1,5,143,5,0,24,5,63,1,0,0,247,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,398.176,398.176,4,351.823,87.95575,40.932,4,4,4,3,0.731840728,0.680992726,0.862032887,0.562651065,0.55871486,0.809719284,10.91650828,14.05515448,23.79602727,8.392789261,11.53143547,21.27230826,1,1,1,1,1,1,1,2,1,3.25,,1,0,2.75,2,1,1,7,1,1,0.571428571,0.571428571,23.38971429,23.38971429
796,929,2015011730,7, 戒烟的好处,4,TIMESTAMP=1513409345760 USER=2015011730 TASK=7 QUERY= 戒烟的好处 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,269,3,1,6,0,128.464,1,3,127,3,1,20,3,24,0,0,0,182,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,135.266,312.537,3,108.91,36.30333333,19.554,3,3,3,3,0.746215505,0.816583202,0.929244732,0.746215505,0.816583202,0.918404779,11.13092975,16.85363531,25.99588306,11.13092975,16.85363531,23.30919481,1,1,0.9,1,1,0.9,0,2,0,3,,1,0,3,2.666666667,1,1,5,1,1,0.6,0.6,11.7324,11.7324
799,932,2015011730,7, 戒烟的副作用,5,TIMESTAMP=1513409523031 USER=2015011730 TASK=7 QUERY= 戒烟的副作用 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,269,3,2,7,1,171.216,1,3,185,3,0,14,2,55,1,0,0,264,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,135.266,312.537,2,99.046,49.523,72.17,2,2,2,2,0.640366253,0.845731438,0.875189995,0.511576142,0.587920021,0.814544693,7.630929754,10.76957596,11.74818131,7.630929754,10.76957596,15.48257027,0.666666667,0.8,0.7,0.666666667,0.8,0.7,0,1,0,2, 戒烟的好处,0.333333333,0.444444444,3,3,1,1,4,1,1,0.5,0.5,36.085,36.085
818,951,2015011730,8, 谷歌眼镜,4,TIMESTAMP=1513411579148 USER=2015011730 TASK=8 QUERY= 谷歌眼镜 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,277,1,1,5,0,152.585,1,2,118,2,1,26,2,42,0,0,0,194,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,159.816,235.473,2,116.625,58.3125,35.96,1,1,1,1,0.612135869,0.719680286,0.879512405,0.612135869,0.719680286,0.879134312,9.130929754,14.85363531,21.50243275,9.130929754,14.85363531,20.24057324,1,1,0.8,1,1,0.8,1,2,0,4,,1,0,1.5,1.5,0.5,0.5,5,0.5,0.5,0.2,0.2,7.192,7.192
819,952,2015011730,8, 谷歌眼镜购买,2,TIMESTAMP=1513411615002 USER=2015011730 TASK=8 QUERY= 谷歌眼镜购买 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,277,2,2,7,0,26.491,1,1,53,1,1,10,1,22,0,0,0,90,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,159.816,235.473,1,7.129,7.129,19.362,1,1,1,0,1,1,0.992568961,1,0.916532372,0.984458968,14.91650828,20.63921383,25.88867232,14.91650828,18.9165076,22.96184611,1,1,0.9,1,1,0.9,0,0,1,6, 谷歌眼镜,0.285714286,0.714285714,3,1,1,1,6,1,1,0.166666667,0.166666667,3.227,3.227
820,953,2015011730,8,淘宝,5,TIMESTAMP=1513411654805 USER=2015011730 TASK=8 QUERY=淘宝 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,277,3,3,2,1,33.932,1,1,22,1,0,4,1,0,1,0,0,31,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,159.816,235.473,1,31,31,2.932,1,1,1,1,0.562651065,0.608941973,0.616355087,1,1,0.870124988,8.392789261,12.56808359,19.60312137,6.392789261,8.845377357,11.86039355,1,0.8,0.85,1,0.8,0.8,1,1,0,1, 谷歌眼镜购买,0.222222222,0,3,2,1,1,1,1,1,1,1,2.932,2.932
754,887,2015011730,10,去香港买iphone6,5,TIMESTAMP=1513406498325 USER=2015011730 TASK=10 QUERY= 去香港买iphone6 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,262,2,1,12,0,70.875,1,1,89,1,1,10,1,45,0,0,0,149,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,31.872,31.872,39.003,1,1,1,1,0.530721274,0.660839795,0.846922866,0.731840728,0.806194168,0.892591729,7.916508275,13.63921383,20.53307309,10.91650828,16.63921383,21.64028383,1,1,1,1,1,1,0,1,0,5,,1,0,3,3,1,1,5,1,1,0.2,0.2,7.8006,7.8006
755,888,2015011730,10,iphone6行货价格,1,TIMESTAMP=1513406539974 USER=2015011730 TASK=10 QUERY=iphone6行货价格 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,262,3,2,11,0,36.833,1,1,57,1,1,22,1,51,0,0,0,135,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,3.011,3.011,33.822,1,1,1,1,0.830810337,0.877722134,0.951798986,0.294491793,0.493294723,0.730073258,12.39278926,18.11549482,27.47501638,4.392789261,8.568083589,15.31270791,1,1,1,1,1,1,0,0,1,7,去香港买iphone6,0.25,0.4375,3,2,1,1,7,1,1,0.142857143,0.142857143,4.831714286,4.831714286
757,890,2015011730,10,苹果官网,2,TIMESTAMP=1513406586103 USER=2015011730 TASK=10 QUERY=苹果官网 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,262,3,3,4,0,34.371,1,1,104,1,1,30,1,48,0,0,0,187,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,12.09,12.09,22.281,1,1,1,1,0.597761092,0.58408981,0.808754415,0.802612059,0.779452928,0.897168192,8.916508275,12.05515448,18.62019574,5.130929754,6.291488175,7.860280965,1,1,0.8,1,0.8,0.7,0,1,0,4,iphone6行货价格,0.266666667,0,3,2,1,1,4,1,1,0.25,0.25,5.57025,5.57025
759,892,2015011730,10,京东,2,TIMESTAMP=1513406652566 USER=2015011730 TASK=10 QUERY=京东 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,262,3,4,2,0,60.202,1,2,126,2,1,32,2,0,0,0,0,166,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,41.447,41.447,18.755,1,1,0,0,0.597761092,0.58408981,0.633683355,0.452508153,0.375729116,0.396737744,8.916508275,12.05515448,19.46940387,2.892789261,3.323465819,4.226555806,1,1,0.95,0.5,0.4,0.4,1,1,0,2,苹果官网,0.333333333,0,3,0,1,0,2,1,0,0.5,0,9.3775,0
761,894,2015011730,10,京淘宝,4,TIMESTAMP=1513406809500 USER=2015011730 TASK=10 QUERY=京淘宝 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,262,3,5,3,0,150.681,1,2,26,2,1,2,1,0,0,0,0,35,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,119.896,119.896,30.785,1,1,1,1,0.417511385,0.572211779,0.763785353,0.761730857,0.740168466,0.833254241,5.392789261,8.794377974,13.78954331,7.916508275,9.507743255,11.27802772,1,1,0.9,1,1,0.7,1,1,0,1,京东,0.5,0.25,2,3,1,1,1,1,1,1,1,30.785,30.785
763,896,2015011730,10,港行iPhone6价格,3,TIMESTAMP=1513406847133 USER=2015011730 TASK=10 QUERY=港行iPhone6价格 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,262,3,6,11,0,24.195,1,1,56,1,1,4,1,0,0,0,0,65,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,6.276,6.276,17.919,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,0,0,0,0,京淘宝,0.785714286,0,3,3,1,1,0,1,1,0,0,0,0
764,897,2015011730,10,香港iPhone6价格,2,TIMESTAMP=1513406871552 USER=2015011730 TASK=10 QUERY=香港iPhone6价格 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,262,3,7,11,0,19.691,1,0,31,0,1,0,0,0,0,0,0,33,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,73.839,643.091,0,0,0,19.691,0,0,0,0,0.959453515,0.960761837,0.960761837,1,1,1,12.39278926,12.82346582,12.82346582,10.39278926,10.82346582,10.82346582,1,1,1,1,1,1,0,0,0,,港行iPhone6价格,0.083333333,0.833333333,0,0,0,0,29,0,0,0,0,0,0
765,898,2015011730,10,苹果香港,5,TIMESTAMP=1513406944436 USER=2015011730 TASK=10 QUERY=苹果香港 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,262,2,8,4,0,66.691,1,1,54,1,1,2,1,0,0,0,0,61,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,46.824,46.824,19.867,1,1,1,0,0.830810337,0.935888506,0.935888506,0.631038505,0.66474675,0.66474675,12.39278926,15.53143547,15.53143547,5.130929754,5.948459119,5.948459119,1,1,1,1,1,1,0,0,0,0,香港iPhone6价格,0.153846154,0.153846154,3,1,1,1,0,1,1,0,0,0,0
767,900,2015011730,10,iPhone关税,5,TIMESTAMP=1513407067577 USER=2015011730 TASK=10 QUERY=iPhone关税 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,262,3,9,8,1,117.808,1,1,28,1,0,4,1,0,1,0,0,37,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,73.839,643.091,1,110.448,110.448,7.36,1,1,1,1,0.612898479,0.67467183,0.75596557,0.569289738,0.591293704,0.723046692,7.916508275,10.36909637,13.14438623,5.916508275,7.595390756,10.01447343,0.666666667,0.8,0.9,0.666666667,0.8,0.8,1,1,0,1,苹果香港,0.666666667,0,3,3,1,1,1,1,1,1,1,7.36,7.36
808,941,2015011730,11, 清华大学游泳馆,1,TIMESTAMP=1513410275874 USER=2015011730 TASK=11 QUERY= 清华大学游泳馆 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,274,2,1,8,0,5.599,2,0,45,0,2,0,0,0,0,0,0,49,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,75.628,168.972,0,0,0,5.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,29,0,0,0,0,0,0
809,942,2015011730,11, 清华大学游泳馆,1,TIMESTAMP=1513410292286 USER=2015011730 TASK=11 QUERY= 清华大学游泳馆 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,274,2,2,8,0,5.599,2,0,45,0,2,0,0,0,0,0,0,49,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,75.628,168.972,0,0,0,5.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, 清华大学游泳馆,0,1,0,0,0,0,29,0,0,0,0,0,0
811,944,2015011730,11, 清华大学游泳馆地址,5,TIMESTAMP=1513410343123 USER=2015011730 TASK=11 QUERY= 清华大学游泳馆地址 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,274,3,3,10,0,44.171,1,1,117,1,1,22,1,24,0,0,0,168,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.628,168.972,1,18.32,18.32,25.851,1,1,1,1,0.469278726,0.495112394,0.820680388,0.469278726,0.449996009,0.805167913,7,9.452588096,17.0777207,7,8.59123498,15.92730276,0.333333333,0.6,0.8,0.333333333,0.6,0.7,0,0,0,0, 清华大学游泳馆,0.2,0.8,3,3,1,1,0,1,1,0,0,0,0
813,946,2015011730,11, 清华大学游泳馆开放时间,5,TIMESTAMP=1513410436467 USER=2015011730 TASK=11 QUERY= 清华大学游泳馆开放时间 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,274,3,4,12,1,85.62,1,2,48,2,0,10,2,0,1,0,0,66,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.628,168.972,2,75.539,37.7695,10.081,1,1,1,1,0.530721274,0.476798307,0.701007365,0.530721274,0.476798307,0.701007365,7.916508275,8.73403764,13.09082476,7.916508275,8.73403764,13.09082476,0.666666667,0.8,0.6,0.666666667,0.8,0.6,1,1,0,1, 清华大学游泳馆地址,0.285714286,0.571428571,1.5,1,0.5,0.5,2,0.5,0.5,0.5,0.5,5.0405,5.0405
784,917,2015011730,12, 辽宁号,5,TIMESTAMP=1513408602107 USER=2015011730 TASK=12 QUERY= 辽宁号 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,268,1,1,4,0,338.747,3,1,140,1,1,42,1,103,0,0,2,294,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,341.706,586.365,1,300.93,300.93,37.817,0,0,0,0,0.590788903,0.756773775,0.870552241,0.349370093,0.603870076,0.715802316,7.630929754,11.63092908,14.51657332,3.630929754,6.769575962,8.743757222,0.666666667,0.8,0.9,0.666666667,0.8,0.8,1,1,0,2,,1,0,0,0,0,0,2,0,0,0,0,0,0
787,920,2015011730,12,航空母舰,1,TIMESTAMP=1513408621698 USER=2015011730 TASK=12 QUERY=航空母舰 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,268,2,2,4,0,15.444,2,1,76,1,2,10,1,47,0,0,0,140,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,341.706,586.365,1,11.696,11.696,3.748,1,1,1,0,0.497201365,0.607697387,0.783184302,0.567972696,0.724262686,0.875102242,7.416508275,10.55515448,14.94825982,3.630929754,5.222164733,6.913184454,0.666666667,0.8,0.8,0.666666667,0.8,0.7,1,1,0,1, 辽宁号,0.5,0,3,1,1,1,1,1,1,1,1,3.748,3.748
788,921,2015011730,12,航空母舰维基,1,TIMESTAMP=1513408680795 USER=2015011730 TASK=12 QUERY=航空母舰维基 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,268,2,3,6,0,53.709,1,1,119,1,1,40,1,122,0,0,0,286,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,341.706,586.365,1,27.403,27.403,26.306,0,0,0,0,0.543173832,0.543173832,0.622534008,0.630929754,0.630929754,0.630929754,4.416508275,4.416508275,5.061780288,1.892789261,1.892789261,1.892789261,0.333333333,0.2,0.3,0.333333333,0.2,0.1,0,0,0,0,航空母舰,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0
790,923,2015011730,12,航空母舰,2,TIMESTAMP=1513408709046 USER=2015011730 TASK=12 QUERY=航空母舰 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,268,2,4,4,0,15.444,2,1,76,1,2,10,1,47,0,0,0,140,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,341.706,586.365,1,11.696,11.696,3.748,1,1,1,0,0.497201365,0.607697387,0.783184302,0.567972696,0.724262686,0.875102242,7.416508275,10.55515448,14.94825982,3.630929754,5.222164733,6.913184454,0.666666667,0.8,0.8,0.666666667,0.8,0.7,1,1,0,1,航空母舰维基,0,0.666666667,3,1,1,1,1,1,1,1,1,3.748,3.748
792,925,2015011730,12,航空母舰百度百科,4,TIMESTAMP=1513408846766 USER=2015011730 TASK=12 QUERY=航空母舰百度百科 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,268,2,5,8,1,131.257,1,1,38,1,0,8,1,0,1,0,0,51,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,341.706,586.365,1,121.994,121.994,9.263,0,0,0,0,0.09622056,0.1276214,0.515094599,0,0,0.380096746,1,1.430676558,6.129553172,0,0,3.401280193,0.333333333,0.4,0.7,0,0,0.5,0,0,0,0,航空母舰,0.428571429,0.571428571,0,0,0,0,0,0,0,0,0,0,0
669,797,2015011907,1,破冰游戏 十人,4,TIMESTAMP=1513337887322 USER=2015011907 TASK=1 QUERY=破冰游戏 十人 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,229,2,1,7,1,326.216,1,5,228,5,0,38,4,101,1,0,0,383,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,347.361,347.361,4,295.049,73.76225,31.167,3,3,3,3,0.494931689,0.575530086,0.799838895,0.494931689,0.575530086,0.799838895,6.392789261,8.845377357,16.12027065,6.392789261,8.845377357,16.12027065,1,1,1,1,1,1,2,2,1,2.5,,1,0,3,3,0.75,0.75,6,0.75,0.75,0.5,0.5,15.5835,15.5835
720,848,2015011907,2, 北京周边 旅游 五月,3,TIMESTAMP=1513341813418 USER=2015011907 TASK=2 QUERY= 北京周边 旅游 五月 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,247,2,1,11,0,143.81,1,8,150,8,1,40,6,117,0,0,0,331,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,163.38,206.957,6,110.489,18.41483333,33.321,5,5,5,5,1,0.841558042,0.95677709,0.959453515,0.909879404,0.95165559,14.91650828,17.36909637,25.13569528,12.39278926,13.98402424,18.05691052,1,1,1,1,1,1,2,3,2,4,,1,0,2.333333333,2.166666667,0.833333333,0.833333333,8,0.833333333,0.833333333,0.625,0.625,20.825625,20.825625
722,850,2015011907,2, 北京周边 旅游 五月 价格,4,TIMESTAMP=1513341856995 USER=2015011907 TASK=2 QUERY= 北京周边 旅游 五月 价格 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,247,3,2,14,1,33.987,1,4,91,4,0,28,3,86,1,0,0,218,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,163.38,206.957,3,19.055,6.351666667,14.932,3,3,3,3,0.612135869,0.50500758,0.836340898,0.569838453,0.563761607,0.831291947,9.130929754,10.42295943,19.25532763,8.5,9.792029674,16.15841839,1,0.8,0.8,0.666666667,0.6,0.7,1,1,1,3.333333333, 北京周边 旅游 五月,0.181818182,0.818181818,2.333333333,2.333333333,1,1,7,1,1,0.428571429,0.428571429,6.399428571,6.399428571
704,832,2015011907,3, 死飞自行车,3,TIMESTAMP=1513340810386 USER=2015011907 TASK=3 QUERY= 死飞自行车 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,242,1,1,6,0,164.005,1,5,189,5,1,36,5,88,0,0,0,330,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,185.032,284.104,5,137.599,27.5198,26.406,4,3,4,3,0.530721274,0.547394237,0.710926022,0.612898479,0.635941001,0.711229155,7.916508275,9.507743255,12.83835489,7.916508275,8.73403764,10.2584693,0.666666667,0.8,0.7,0.666666667,0.8,0.7,2,3,1,2.8,,1,0,1.8,1.8,0.8,0.8,6,0.8,0.8,0.666666667,0.666666667,17.604,17.604
705,833,2015011907,3, 死飞自行车 清华,3,TIMESTAMP=1513340909458 USER=2015011907 TASK=3 QUERY= 死飞自行车 清华 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,242,2,2,9,1,88.105,1,2,113,2,0,22,1,76,1,0,0,218,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,185.032,284.104,1,66.18,66.18,21.925,1,1,1,1,0.230235522,0.337291456,0.618705357,0.060708414,0.206043406,0.51328691,2.392789261,4.071671742,8.090610199,0.630929754,2.309812235,6.108041926,0.666666667,0.8,0.8,0.333333333,0.6,0.7,1,1,0,1, 死飞自行车,0.25,0.75,3,3,1,1,1,1,1,1,1,21.925,21.925
700,828,2015011907,4, 国际航班 行李,4,TIMESTAMP=1513340324524 USER=2015011907 TASK=4 QUERY= 国际航班 行李 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,240,2,1,8,1,396.946,2,9,348,9,0,69,9,172,1,0,1,620,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,429.604,429.604,8,349.63,43.70375,47.316,6,4,5,2,0.830810337,0.752520692,0.910594178,0.428571429,0.476684109,0.711535064,12.39278926,15.53143547,22.5364401,6.392789261,9.100758911,14.29958356,1,1,0.9,1,0.8,0.8,3,4,2,4.5,,1,0,1.714285714,1,0.75,0.625,13,0.75,0.625,0.461538462,0.384615385,21.83815385,18.19846154
730,858,2015011907,7, 戒烟,3,TIMESTAMP=1513342678435 USER=2015011907 TASK=7 QUERY= 戒烟 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,252,1,1,3,0,82.12,1,7,113,7,1,34,5,101,0,0,0,269,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,98.585,136.481,5,56.389,11.2778,25.731,3,3,3,3,0.396641638,0.563936879,0.756732216,0.396641638,0.481838329,0.708696771,5.916508275,11.63921383,18.97813172,5.916508275,8.369096371,14.44615476,0.666666667,0.8,0.8,0.666666667,0.8,0.8,1,3,1,3.6,,1,0,1.4,1.2,0.6,0.6,7,0.6,0.6,0.428571429,0.428571429,11.02757143,11.02757143
731,859,2015011907,7, 戒烟 副作用,5,TIMESTAMP=1513342716331 USER=2015011907 TASK=7 QUERY= 戒烟 副作用 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,252,3,2,7,1,30.524,1,3,61,2,0,14,2,41,1,0,0,125,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,98.585,136.481,2,18.63,9.315,11.894,2,2,2,2,0.798880546,0.842864497,0.943102618,0.804612906,0.947881595,0.943723541,11.91650828,16.0918026,20.18175207,10.39278926,14.56808359,16.40903661,1,1,1,1,1,0.9,1,1,0,0.5, 戒烟,0.5,0.5,3,3,1,1,1,1,1,2,2,23.788,23.788
710,838,2015011907,8, 谷歌眼镜,4,TIMESTAMP=1513341283843 USER=2015011907 TASK=8 QUERY= 谷歌眼镜 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,243,1,1,5,0,212.58,1,6,93,6,1,20,5,70,0,0,0,202,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,224.928,324.743,5,191.024,38.2048,21.556,5,4,5,5,0.612135869,0.719680286,0.879512405,0.612135869,0.719680286,0.879134312,9.130929754,14.85363531,21.50243275,9.130929754,14.85363531,20.24057324,1,1,0.8,1,1,0.8,2,3,1,2.6,,1,0,2.6,2.8,1,1,6,1,1,0.833333333,0.833333333,17.96333333,17.96333333
